GEOID,totalPop,totalPop_moe,raceTotal,raceTotal_moe,black,black_moe,black_prop,medianInc,medianInc_moe,ownTotal,ownTotal_moe,ownOcc,ownOcc_moe,ownOcc_prop,pvtyTotal,pvtyTotal_moe,pvty,pvty_moe,pvty_prop,emplyTotal,emplyTotal_moe,unemply,unemply_moe,unemply_prop
29510116302,3044,386,3044,386,1100,363,0.36136662286465177,28723,5517,3044,386,784,335,0.2575558475689882,3044,386,827,321,0.2716819973718791,2406,266,884,189,0.36741479634247715
29510116400,4384,547,4384,547,2426,521,0.5533759124087592,25186,4616,4372,546,1371,387,0.3135864592863678,4384,547,1689,483,0.385264598540146,3306,415,1095,276,0.3312159709618875
29510116500,4590,525,4590,525,1885,414,0.4106753812636166,43913,6617,4589,526,2125,440,0.46306384833297015,4590,525,927,359,0.2019607843137255,3690,386,862,188,0.23360433604336042
29510117100,1750,199,1750,199,445,193,0.2542857142857143,41098,2827,1750,199,372,84,0.21257142857142858,1750,199,316,154,0.18057142857142858,1514,129,273,75,0.18031704095112286
29510117200,5110,572,5110,572,1846,418,0.361252446183953,63094,13333,5073,569,2769,493,0.5458308693081018,5092,569,739,324,0.14512961508248232,4475,447,1213,296,0.27106145251396646
29510117400,4662,498,4662,498,1411,518,0.30265980265980263,60865,16467,4425,448,1975,323,0.4463276836158192,4447,446,535,283,0.12030582415111311,3718,321,1029,208,0.2767616998386229
29510118100,1285,259,1285,259,729,243,0.5673151750972762,34375,12169,1278,259,545,184,0.42644757433489827,1284,259,411,211,0.32009345794392524,1022,176,250,98,0.2446183953033268
29510118400,1460,303,1460,303,418,73,0.2863013698630137,10545,2303,429,63,21,24,0.04895104895104895,429,63,262,69,0.6107226107226107,1460,303,1031,249,0.7061643835616438
29510118600,4163,438,4163,438,1711,444,0.4110016814797021,40952,7576,3218,425,1169,455,0.3632691112492231,3349,423,837,223,0.2499253508510003,3783,348,1650,257,0.43616177636796194
29510119101,2800,261,2800,261,1041,260,0.3717857142857143,37417,6849,2761,255,947,193,0.34299166968489675,2775,254,776,262,0.2796396396396396,2716,227,1245,240,0.4583946980854197
